2023-04-25 13:40:33.964 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-25 13:40:34.013 [main] INFO  chen.ServerApplication - Starting ServerApplication using Java 17.0.4.1 with PID 6132 (D:\program\api-boot\api-server\target\classes started by ChenQi in D:\program\api-boot)
2023-04-25 13:40:34.014 [main] INFO  chen.ServerApplication - The following 1 profile is active: "dev"
2023-04-25 13:40:35.229 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-25 13:40:35.232 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-25 13:40:35.264 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 0 Redis repository interfaces.
2023-04-25 13:40:35.876 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-25 13:40:35.883 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-25 13:40:35.883 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-25 13:40:35.883 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-04-25 13:40:35.958 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-25 13:40:35.959 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1906 ms
2023-04-25 13:40:37.620 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@191774d6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@21ffc00e, org.springframework.security.web.context.SecurityContextHolderFilter@3a9c92b5, org.springframework.security.web.header.HeaderWriterFilter@35260785, org.springframework.security.web.authentication.logout.LogoutFilter@5151accb, chen.security.filter.AuthenticationTokenFilter@297bd171, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5db04bd2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6f921e32, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@134955bb, org.springframework.security.web.session.SessionManagementFilter@21bf308, org.springframework.security.web.access.ExceptionTranslationFilter@5de243bb, org.springframework.security.web.access.intercept.AuthorizationFilter@582c1f8d]
2023-04-25 13:40:37.915 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-25 13:40:37.932 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-25 13:40:37.939 [main] INFO  chen.ServerApplication - Started ServerApplication in 4.318 seconds (process running for 8.646)
2023-04-25 13:40:54.898 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-25 13:40:54.898 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-25 13:40:54.898 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-04-25 13:42:05.101 [http-nio-8080-exec-18] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-25 13:42:05.650 [http-nio-8080-exec-18] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@118b3456
2023-04-25 13:42:05.650 [http-nio-8080-exec-18] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-04-25 14:14:27.111 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-25 14:14:27.113 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
